sample_id,split,recalculated_score,risk_score,risk_percentile,diff
6b51148b3432f70f6d36,train,0.5105583657819441,0.510558,7.3,3.6578194417824506e-07
805176a6d0f27f80ac0e,train,0.5356626400542556,0.535663,53.7,3.599457444325438e-07
9d018cae958131c081bc,validation,0.5356626400542556,0.535663,54.7,3.599457444325438e-07
ad3d6fb266a4cc92ebd0,train,0.6091197144408445,0.60912,52.7,2.855591555439574e-07
800700f23a95fb5e66ab,train,0.6077695247861009,0.60777,58.2,4.752138991204191e-07
b3f71cbb229d581d9548,train,0.3201107486311337,0.320111,4.5,2.5136886627752375e-07
93e0f54ef0b156ea10b7,train,0.31518289827715357,0.315183,5.7,1.0172284642395724e-07
d4d678771678a74da5ae,train,0.5356626400542556,0.535663,54.3,3.599457444325438e-07
b80373b5d3f4417b6ecb,train,0.6054677136143556,0.605468,55.2,2.863856444212942e-07
85cd0c534ecadf2c042c,train,0.7289624986702194,0.728962,93.2,4.986702194509363e-07
5c5e9a306809aad5689c,train,0.33054412043943704,0.330544,4.8,1.2043943703465843e-07
f79057336d30218b6426,train,0.515459740000239,0.51546,17.7,2.599997610541749e-07
138b39c8662c0d30166c,train,0.5107968182199945,0.510797,11.1,1.8178000549262663e-07
0a0c7501344fe900c27a,train,0.5990364430410516,0.599036,16.9,4.430410516231831e-07
9ccf8249c4169a86acaa,train,0.6077695247861009,0.60777,53.2,4.752138991204191e-07
03369e6414e8552f6f11,train,0.6091197144408445,0.60912,56.8,2.855591555439574e-07
5dfe5fa9d621a25696cf,train,0.6091197144408445,0.60912,56.8,2.855591555439574e-07
684b35658bf003c7f035,validation,0.6091197144408445,0.60912,55.0,2.855591555439574e-07
f03d1951ac27dddb84e4,validation,0.6091197144408445,0.60912,55.0,2.855591555439574e-07
c57033b37b345e9bc6f5,train,0.5356626400542556,0.535663,56.7,3.599457444325438e-07
31ffcc2e9008a856011f,train,0.6091197144408445,0.60912,56.4,2.855591555439574e-07
2da1844fdbbc65fff719,train,0.6091197144408445,0.60912,56.4,2.855591555439574e-07
01322b9d7fc2b09fff3f,train,0.6077695247861009,0.60777,55.6,4.752138991204191e-07
34a2ee68102dd0323cd8,validation,0.5356626400542556,0.535663,54.7,3.599457444325438e-07
e8ceb1433bbf5ea52b50,train,0.5356626400542556,0.535663,56.0,3.599457444325438e-07
f779078e7ef641de5d05,train,0.24770987101940006,0.24771,1.7,1.2898059995047895e-07
3fdacd3bc636d93cec91,train,0.3419148641302942,0.341915,8.9,1.3586970581958013e-07
d0df09c4375c244f8bc9,train,0.6077695247861009,0.60777,53.1,4.752138991204191e-07
edccd5140041c8438b4c,train,0.5356626400542556,0.535663,53.6,3.599457444325438e-07
fa04522bdc3c6bc7b512,train,0.5356626400542556,0.535663,55.8,3.599457444325438e-07
ab7e3a5761e14cea2b6e,train,0.4122783887177942,0.412278,10.2,3.8871779423077513e-07
6f670783c2c94ebc4fa9,train,0.6091197144408445,0.60912,56.8,2.855591555439574e-07
17d45bcfb15d1784f729,train,0.5356626400542556,0.535663,53.7,3.599457444325438e-07
394c22d2384c76497088,train,0.2823605457286373,0.282361,6.2,4.542713626931594e-07
d61635992e26bf68d57c,train,0.5356626400542556,0.535663,55.8,3.599457444325438e-07
4712232352dc951ccf58,train,0.6091197144408445,0.60912,56.4,2.855591555439574e-07
b16adb44b0e0151bc25a,train,0.6054677136143556,0.605468,59.9,2.863856444212942e-07
